Category,Names,DQR,Agriculture,Transformation,Packaging,Transportation,Supermarket and distribution,Consumption,Total,Ag_Percent,Transformation_Percentage,Packaging_Percent,Transportation_Percentage,Distribution_Percentage,Consumption_Percentage,,
Vegetable,Eggplant,2.72,0.18,0,0,0.26,0.02,0.01,0.47,38.30,0.00,0.00,55.32,4.26,2.13,100.00,
Vegetable,Beetroot,2.91,0.09,0,0,0.26,0.02,0.03,0.41,21.95,0.00,0.00,63.41,4.88,7.32,97.56,
Vegetable,Broccoli,2.94,0.49,0.12,0.12,0.24,0.07,0.03,1.06,46.23,11.32,11.32,22.64,6.60,2.83,100.94,
Vegetable,Carrot,2.24,0.08,0,0,0.26,0.02,0.03,0.4,20.00,0.00,0.00,65.00,5.00,7.50,97.50,
Vegetable,Celery,2.88,0.44,0,0,0.25,0.02,0.01,0.72,61.11,0.00,0.00,34.72,2.78,1.39,100.00,
Vegetable,Morel,2.88,5.74,0,0,0.3,0.06,0.08,6.17,93.03,0.00,0.00,4.86,0.97,1.30,100.16,
Vegetable,Brussels Sprout,2.94,0.25,0.09,0.12,0.23,0.07,0.03,0.78,32.05,11.54,15.38,29.49,8.97,3.85,101.28,
Vegetable,Cauliflower,2.1,0.31,0,0,0.3,0.03,0.08,0.72,43.06,0.00,0.00,41.67,4.17,11.11,100.00,
Vegetable,Cucumber,2.64,0.2,0,0,0.26,0.02,0.03,0.51,39.22,0.00,0.00,50.98,3.92,5.88,100.00,
Vegetable,Butternut Squash,2.99,0.21,0,0,0.33,0.03,0.08,0.64,32.81,0.00,0.00,51.56,4.69,12.50,101.56,
Vegetable,Artichoke,2.64,0.62,0,0,0.6,0.05,1.29,2.56,24.22,0.00,0.00,23.44,1.95,50.39,100.00,
Vegetable,Avocado,2.81,0.88,0,0,0.51,0.03,0.14,1.55,56.77,0.00,0.00,32.90,1.94,9.03,100.65,
Vegetable,Courgette,2.95,0.18,0,0,0.26,0.02,0.03,0.5,36.00,0.00,0.00,52.00,4.00,6.00,98.00,
Vegetable,Spinach,2.58,0.12,0,0,0.25,0.05,0.01,0.42,28.57,0.00,0.00,59.52,11.90,2.38,102.38,
Vegetable,French Bean,2.09,0.12,0,0,0.26,0.03,0.04,0.45,26.67,0.00,0.00,57.78,6.67,8.89,100.00,
Vegetable,Romaine Lettuce,2.66,0.18,0,0,0.4,0.07,0.22,0.87,20.69,0.00,0.00,45.98,8.05,25.29,100.00,
Vegetable,Sweet Corn,2.52,0.45,0.12,0.12,0.21,0.07,0.03,0.99,45.45,12.12,12.12,21.21,7.07,3.03,101.01,
Vegetable,Turnip,2.83,0.08,0,0,0.26,0.02,0.03,0.4,20.00,0.00,0.00,65.00,5.00,7.50,97.50,
Vegetable,Onion,2.39,0.1,0,0,0.27,0.02,0.03,0.42,23.81,0.00,0.00,64.29,4.76,7.14,100.00,
Vegetable,Asparagus,2.75,0.97,0,0,0.42,0.04,0.22,1.64,59.15,0.00,0.00,25.61,2.44,13.41,100.61,
Vegetable,Garden Peas,1.76,0.32,0.07,0.12,0.21,0.07,0.03,0.81,39.51,8.64,14.81,25.93,8.64,3.70,101.23,
Vegetable,Leek,2.52,0.21,0,0,0.3,0.02,0.08,0.61,34.43,0.00,0.00,49.18,3.28,13.11,100.00,
Vegetable,Pumpkin,2.99,0.21,0,0,0.33,0.03,0.08,0.64,32.81,0.00,0.00,51.56,4.69,12.50,101.56,
Vegetable,Tomato,2.77,0.33,0,0,0.32,0.03,0.08,0.75,44.00,0.00,0.00,42.67,4.00,10.67,101.33,
Vegetable,Potato,2.26,0.11,0,0.45,0.19,0.02,0.01,0.79,13.92,0.00,56.96,24.05,2.53,1.27,98.73,
Vegetable,Nothing,0,0,0,0,0,0,0,0,,,,,,,0.00,
Fruit,Apricot,2.18,0.35,0,0.66,0.34,0.02,0.08,1.45,24.14,0.00,45.52,23.45,1.38,5.52,100.00,
Fruit,Banana,2.61,0.3,0,0,0.45,0.03,0.14,0.91,32.97,0.00,0.00,49.45,3.30,15.38,101.10,
Fruit,Lemon,2.72,0.19,0,0,0.41,0.03,0.14,0.76,25.00,0.00,0.00,53.95,3.95,18.42,101.32,
Fruit,Quince,2.94,0.1,0,0,0.36,0.02,0.08,0.56,17.86,0.00,0.00,64.29,3.57,14.29,100.00,
Fruit,Strawberry,2.41,0.24,0,0,0.27,0.01,0.01,0.53,45.28,0.00,0.00,50.94,1.89,1.89,100.00,
Fruit,Kiwi,1.94,0.48,0.01,0,0.41,0.01,0.08,1,48.00,1.00,0.00,41.00,1.00,8.00,99.00,
Fruit,Pineapple,2.86,0.37,0,0,0.65,0.03,0.32,1.36,27.21,0.00,0.00,47.79,2.21,23.53,100.74,
Fruit,Mandarin,2.74,0.01,0,0,0.36,0.02,0.08,0.47,2.13,0.00,0.00,76.60,4.26,17.02,100.00,
Fruit,Mango,2.94,0.15,0,0,0.47,0.02,0.08,0.73,20.55,0.00,0.00,64.38,2.74,10.96,98.63,
Fruit,Cantaloupe,2.87,0.32,0,0,0.42,0.03,0.22,0.98,32.65,0.00,0.00,42.86,3.06,22.45,101.02,
Fruit,Papaya,2.67,0.18,0,0,0.65,0.02,0.08,0.93,19.35,0.00,0.00,69.89,2.15,8.60,100.00,
Fruit,Watermelon,2.87,0.24,0,0,0.35,0.02,0.08,0.68,35.29,0.00,0.00,51.47,2.94,11.76,101.47,
Fruit,Peach,2.36,0.18,0,0,0.31,0.02,0.08,0.59,30.51,0.00,0.00,52.54,3.39,13.56,100.00,
Fruit,Pear,2.69,0.07,0,0,0.27,0.01,0.03,0.39,17.95,0.00,0.00,69.23,2.56,7.69,97.44,
Fruit,Apple,2.01,0.09,0,0,0.26,0.02,0.03,0.41,21.95,0.00,0.00,63.41,4.88,7.32,97.56,
Fruit,Cherry,2.2,0.64,0,0.66,0.34,0.02,0.08,1.74,36.78,0.00,37.93,19.54,1.15,4.60,100.00,
Fruit,Grape,2.7,0.17,0,0,0.29,0.02,0.03,0.51,33.33,0.00,0.00,56.86,3.92,5.88,100.00,
Fruit,Blueberry,3.49,0.65,0,0,0.25,0.02,0.01,0.92,70.65,0.00,0.00,27.17,2.17,1.09,101.09,
Fruit,Raspberry,4.05,1.04,0,0,0.48,0.01,0.01,1.55,67.10,0.00,0.00,30.97,0.65,0.65,99.35,
Fruit,Fig,3.49,0.18,0,0,0.33,0.02,0.08,0.61,29.51,0.00,0.00,54.10,3.28,13.11,100.00,
Fruit,Blackberry,4.13,0.7,0,0,0.25,0.02,0.01,0.97,72.16,0.00,0.00,25.77,2.06,1.03,101.03,
Fruit,Pomegranate,3.05,0.1,0,0,0.3,0.02,0.08,0.5,20.00,0.00,0.00,60.00,4.00,16.00,100.00,
Fruit,Passion Fruit,3.59,0.54,0,0,0.3,0.02,0.08,0.94,57.45,0.00,0.00,31.91,2.13,8.51,100.00,
Fruit,Nothing,0,0,0,0,0,0,0,0,,,,,,,0.00,
Meat,Egg,2.44,1.49,0,0.11,0.19,0.01,0.08,1.88,79.26,0.00,5.85,10.11,0.53,4.26,100.00,
Meat,Lamb,2.97,40.6,0.07,0.25,0.37,0.05,0.09,41.4,98.07,0.17,0.60,0.89,0.12,0.22,100.07,
Meat,Duck,2.98,6.05,1.04,0.47,0.36,0.05,0.09,8.06,75.06,12.90,5.83,4.47,0.62,1.12,100.00,
Meat,Young Goat,2.97,40.6,0.07,0.25,0.37,0.05,0.09,41.4,98.07,0.17,0.60,0.89,0.12,0.22,100.07,
Meat,Turkey,2.13,3,0.83,0.38,0.31,0.04,0.01,4.56,65.79,18.20,8.33,6.80,0.88,0.22,100.22,
Meat,Rabbit,2.12,3.75,1.04,0.47,0.38,0.05,0.09,5.78,64.88,17.99,8.13,6.57,0.87,1.56,100.00,
Meat,Goose,2.12,3.75,1.04,0.06,0.32,0.05,0.09,5.31,70.62,19.59,1.13,6.03,0.94,1.69,100.00,
Meat,Beef,2.85,28.3,0.12,0.2,0.29,0.04,0.01,28.9,97.92,0.42,0.69,1.00,0.14,0.03,100.21,
Meat,Guinea Fowl,2.12,3.75,1.04,0.47,0.38,0.05,0.09,5.78,64.88,17.99,8.13,6.57,0.87,1.56,100.00,
Meat,Pork,2.85,6.06,0,0.2,0.26,0.04,0.01,6.57,92.24,0.00,3.04,3.96,0.61,0.15,100.00,
Meat,Mutton,2.97,32.5,0.05,0.2,0.29,0.04,0.01,33.1,98.19,0.15,0.60,0.88,0.12,0.03,99.97,
Meat,Chicken,2.09,3.75,1.09,0.38,0.32,0.04,0.01,5.58,67.20,19.53,6.81,5.73,0.72,0.18,100.18,
Meat,Veal,2.87,22.5,0.11,0.2,0.29,0.04,0.01,23.2,96.98,0.47,0.86,1.25,0.17,0.04,99.78,
Meat,Nothing,0,0,0,0,0,0,0,0,,,,,,,0.00,
Legumes,Broad Bean,2.85,0.51,0,0.13,0.15,0.07,0,0.86,59.30,0.00,15.12,17.44,8.14,0.00,100.00,
Legumes,Mung Bean,2.95,0.1,0,0.13,0.28,0.07,0,0.57,17.54,0.00,22.81,49.12,12.28,0.00,101.75,
Legumes,Red Kidney Bean,2.99,0.5,0.21,0.46,0.25,0.03,0.01,1.45,34.48,14.48,31.72,17.24,2.07,0.69,100.69,
Legumes,Blond Lentil,2.87,0.14,0,0.13,0.24,0.07,0,0.58,24.14,0.00,22.41,41.38,12.07,0.00,100.00,
Legumes,Red Lentil,2.87,0.14,0,0.13,0.24,0.07,0,0.58,24.14,0.00,22.41,41.38,12.07,0.00,100.00,
Legumes,Green Lentil,2.87,0.14,0,0.13,0.24,0.07,0,0.58,24.14,0.00,22.41,41.38,12.07,0.00,100.00,
Legumes,Chick Pea,2.71,0.17,0,0.13,0.14,0.03,0.14,0.6,28.33,0.00,21.67,23.33,5.00,23.33,101.67,
Legumes,Nothing,0,0,0,0,0,0,0,0,,,,,,,0.00,
Nuts,Flaxseed,2.41,0.89,1.48,0.38,0.41,0.05,0.32,3.53,25.21,41.93,10.76,11.61,1.42,9.07,100.00,
Nuts,Macadamia Nut,2.73,3.07,0.2,0.19,0.18,0.02,0,3.66,83.88,5.46,5.19,4.92,0.55,0.00,100.00,
Nuts,Pecan Nut,2.73,3.07,0.2,0.19,0.18,0.02,0,3.66,83.88,5.46,5.19,4.92,0.55,0.00,100.00,
Nuts,Walnut,2.84,3.07,0,0.38,0.3,0.05,0.32,4.11,74.70,0.00,9.25,7.30,1.22,7.79,100.24,
Nuts,Sunflower Seed,2.57,1.8,0.02,0.38,0.35,0.05,0.32,2.91,61.86,0.69,13.06,12.03,1.72,11.00,100.34,
Nuts,Almond,3.1,1.87,0.2,0.19,0.36,0.02,0,2.63,71.10,7.60,7.22,13.69,0.76,0.00,100.38,
Nuts,Peanut,3.46,3.6,0.2,0.19,0.18,0.02,0,4.18,86.12,4.78,4.55,4.31,0.48,0.00,100.24,
Nuts,Cashew,3.66,2.65,0.2,0.19,0.5,0.02,0,3.56,74.44,5.62,5.34,14.04,0.56,0.00,100.00,
Nuts,Pistachio,4.23,5.83,0,0.38,0.64,0.05,0.32,7.22,80.75,0.00,5.26,8.86,0.69,4.43,100.00,
Nuts,Nothing,0,0,0,0,0,0,0,0,,,,,,,0.00,
Dairy,Sheep Milk,2.67,1.85,0,0.1,0.22,0.02,0,2.18,84.86,0.00,4.59,10.09,0.92,0.00,100.46,
Dairy,Goat Milk,2.97,1.2,0,0.1,0.21,0.01,0,1.52,78.95,0.00,6.58,13.82,0.66,0.00,100.00,
Dairy,Cheddar,1.79,5.31,0.35,0.63,0.27,0.04,0.01,6.59,80.58,5.31,9.56,4.10,0.61,0.15,100.30,
Dairy,Cow Milk,1.2,1.11,0.01,0.1,0.22,0.02,0,1.46,76.03,0.68,6.85,15.07,1.37,0.00,100.00,
Dairy,Yogurt,1.22,1.03,0.15,0.42,0.25,0.04,0.01,1.89,54.50,7.94,22.22,13.23,2.12,0.53,100.53,
Dairy,Brie,2.22,4.46,0.22,0.21,0.25,0.04,0.01,5.18,86.10,4.25,4.05,4.83,0.77,0.19,100.19,
Dairy,Feta,2.38,5.11,0.25,0.65,0.26,0.04,0.01,6.3,81.11,3.97,10.32,4.13,0.63,0.16,100.32,
Dairy,Grana Padano,2.23,5.19,0.36,0.34,0.24,0.04,0.01,6.17,84.12,5.83,5.51,3.89,0.65,0.16,100.16,
Dairy,Mozzarella,1.78,3.82,0.25,0.35,0.25,0.04,0.01,4.71,81.10,5.31,7.43,5.31,0.85,0.21,100.21,
Dairy,Gouda,2.21,4.99,0.38,0.63,0.27,0.04,0.01,6.3,79.21,6.03,10.00,4.29,0.63,0.16,100.32,
Dairy,Parmesan,1.77,5.23,0.36,0.34,0.24,0.04,0.01,6.21,84.22,5.80,5.48,3.86,0.64,0.16,100.16,
Dairy,Goat,2.44,5.99,0.25,0.6,0.27,0.04,0.01,7.14,83.89,3.50,8.40,3.78,0.56,0.14,100.28,
Dairy,Nothing,0,0,0,0,0,0,0,0,,,,,,,0.00,
Fish,Anchovy,2.73,1.01,0,0.47,0.98,0.04,0.01,2.51,40.24,0.00,18.73,39.04,1.59,0.40,100.00,
Fish,Mediterranean Bass,2.94,10.7,0,0.47,1.09,0.04,0.01,12.3,86.99,0.00,3.82,8.86,0.33,0.08,100.08,
Fish,Haddock,2.93,10.3,0,0.47,1.27,0.04,0.01,12,85.83,0.00,3.92,10.58,0.33,0.08,100.75,
Fish,Herring,2.74,1.18,0,0.47,0.98,0.04,0.01,2.68,44.03,0.00,17.54,36.57,1.49,0.37,100.00,
Fish,Mackerel,2.74,1.15,0,0.47,0.95,0.04,0.01,2.62,43.89,0.00,17.94,36.26,1.53,0.38,100.00,
Fish,Sardine,2.72,0.78,0,0.47,0.98,0.04,0.01,2.28,34.21,0.00,20.61,42.98,1.75,0.44,100.00,
Fish,Salmon,2.52,4.16,0.03,0.47,0.85,0.04,0.01,5.55,74.95,0.54,8.47,15.32,0.72,0.18,100.18,
Fish,Tuna,2.9,3.61,0,0.47,0.86,0.04,0.01,4.98,72.49,0.00,9.44,17.27,0.80,0.20,100.20,
Fish,Rainbow Trout,2.93,4.67,0,0.47,0.98,0.04,0.01,6.17,75.69,0.00,7.62,15.88,0.65,0.16,100.00,
Fish,Nothing,0,0,0,0,0,0,0,0,,,,,,,0.00,0